Name,PGC,RA,Dec,Dis,e_dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
PGC677373,PGC677373,204.2511,-33.3625,4.446312674691084,0.2967722483474544,0.3179971933630661,CF4,591.0,4.0,LEDA,,
PGC683190,PGC683190,173.2957,-32.9624,5.470159628939719,0.1490770362717697,0.1532536229637724,CF4,704.0,9.0,LEDA,,
PGC704814,PGC704814,359.6696,-31.4676,3.58096437102636,0.1295269776677949,0.1343879199453623,CF4,270.0,89.0,LEDA,,
SDSSJ124936.90+215505.7,PGC4343356,192.4035,21.9178,6.338697112569274,0.2852883650301372,0.2987335914498237,CF4,539.0,4.0,LEDA,,
Tucana,PGC69519,340.458,-64.4206,0.899497,0.0164176811,0.0167229086,CF4,194.0,4.0,LEDA,,
UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,314.0,2.0,LEDA,,
UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,272.0,2.0,LEDA,,
UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.1069967023664952,CF4,350.0,6.0,LEDA,,
UGC05086,PGC27115,143.2034,21.4657,8.27942163712334,0.3361392898805242,0.3503638405463611,CF4,507.0,34.0,LEDA,,
UGC05288,PGC28378,147.8208,7.8283,11.27197456175511,0.6550189897678518,0.6954307513173266,CF4,554.0,12.0,LEDA,,
UGC05373,PGC28913,150.0001,5.3322,1.3995873225726183,0.0192030579697339,0.0194701991164747,CF4,302.0,2.0,LEDA,,
UGC05456,PGC29428,151.8324,10.362,10.28016298126473,0.9904991134653685,1.0961098769695674,CF4,542.0,3.0,LEDA,,
UGC05797,PGC31693,159.855,1.7185,10.185913880541165,0.9814181630094492,1.0860606812139295,CF4,707.0,2.0,LEDA,,
UGC07512,PGC40563,186.4212,2.1593,11.587773561551264,0.4191410837456395,0.4348707846228556,CF4,1505.0,2.0,LEDA,,
UGC08091,PGC44491,194.6678,14.2173,2.137962089502231,0.1056050785660098,0.1110925163335481,CF4,216.0,2.0,LEDA,,
dw1322-39,,200.6336,-39.906,2.95,0.05,0.05,-10,656.0,10.0,-7,stars,dIrr
dw1323-40a,,201.2233,-40.7612,3.73,0.15,0.15,-10,450.0,14.0,-7,stars,dSph
dw1323-40b,,200.9809,-40.8361,3.91,0.61,0.61,-10,497.0,12.0,-7,stars,dSph
dw1341-43,,205.4032,-43.8553,3.53,0.04,0.04,-10,636.0,14.0,-7,stars,dSph
dw1342-43,,205.6837,-43.2548,2.9,0.14,0.14,-10,510.0,8.0,-7,stars,Tr
