HYPERLEDA,LEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB"
pgc,v,e_v,objname,RA2000,DEC2000,1PGC,D,DMop,eDMop,DMir,eDMir,RAJ,DeJ
%7s,%8.0f,%8.0f,%30s,%12s,%12s,%7d,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%8.4f,%8.4f
---,km/s,km/s,"\N",h,deg,,Mpc,mag,mag,mag,mag,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Principal name","Right Ascension (J2000)","Declination (J2000)","PGC identification of brightest member of group","TRGB distance; average of F814W and IR (F110W+F160W) if both available; Revised 0.977 or -0.05 in modulus from Rizzi (2007)","Distance modulus measure at F814W","Uncertainty in F814W distance modulus","Distance modulus measure averaged over F110W and F160W","Uncertainty in F110W+F160W distance modulus","Right Ascension (J2000)","Declination (J2000)"
63432,877,3,IC4870,193737.6,-654843.0,63432,8.31,29.60,0.05,,,294.4065,-65.8119
24781,809,10,ESO496-010,084906.0,-261917.4,24781,8.40,29.62,0.08,,,132.2749,-26.3215
86668,484,3,PGC086668,090254.0,+200428.9,86668,8.64,29.68,0.07,,,135.7250,20.0747
42336,1068,2,NGC4592,123918.8,-003155.1,42336,8.66,29.69,0.09,,,189.8281,-0.5320
62572,796,4,ESO104-022,185541.2,-644841.0,62836,8.73,29.71,0.06,,,283.9215,-64.8114
71775,705,3,IC5332,233427.5,-360605.6,71775,8.80,29.72,0.10,,,353.6145,-36.1016
27077,555,2,NGC2903,093210.1,+213005.1,27077,8.94,29.76,0.09,,,143.0421,21.5014
43851,823,2,PGC043851,125356.8,-120621.2,43851,8.96,29.76,0.14,,,193.4868,-12.1059
64181,814,3,IC4951,200931.7,-615102.1,64181,8.98,29.77,0.14,,,302.3822,-61.8506
40045,1299,2,PGC040045,122207.6,+154757.2,40045,9.08,29.79,0.26,,,185.5317,15.7992
42447,852,30,NGC4600,124023.0,+030703.6,42734,9.08,29.79,0.07,,,190.0958,3.1177
86669,497,6,PGC086669,091930.3,+213613.0,86669,9.10,29.79,0.12,,,139.8764,21.6036
