,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
39,KKs55,PGC2815822,200.55,-42.7311,3.85,0.07,0.07,-1,530.0,14.0,-7,stars,Sph,3.500257814874628,-0.013016637426647822,0.9995812660282505,0.028940048308054134,0.14711554775535954,0.034572946989708725,0.10343146758119823,22.320401373849187,489.1756773054399,1336.5815269983746,21.134469757577225,21.00668609184311,18.358776892002506
40,KKs57,PGC2815823,205.4079,-42.5797,3.84,0.47,0.47,-1,511.0,17.0,-7,stars,Sph,3.5850441646072606,-0.012970518349292116,0.9984397207064961,0.05586922601315438,0.24120707605690864,0.02386378972124989,0.4250090199977332,74.57669913432883,930.8791860769038,9664.67006949424,41.00713929844299,78.53993235973104,24.310387030124403
41,KKs58,PGC2815824,206.5031,-36.3289,3.36,0.1,0.1,-10,477.0,5.0,-7,stars,dSph,3.6041590105751022,-0.011066415781689357,0.9971903883827159,0.07497904049543676,0.6450440456475441,0.13848773890036514,0.1465527939422263,74.61043581819266,230.88092477686686,242.3882462004826,77.19306845853997,13.137616773913464,11.886020046938697
42,UGC05288,PGC28378,147.8208,7.8283,11.27197456175511,0.6550189897678518,0.6954307513173266,CF4,554.0,12.0,LEDA,,,2.579959662932034,0.0023846365473162907,0.5822453827731454,0.9493085546056678,9.531038446676249,0.6288101548049028,0.6752241434615485,-807.2720716935742,404.30755723085724,427.4563181257714,372.14077563714727,23.60034607720206,23.46867448986444
43,UGC05373,PGC28913,150.0001,5.3322,1.3995873225726183,0.0192030579697339,0.0194701991164747,CF4,302.0,2.0,LEDA,,,2.617995623320746,0.0016242810057866875,0.6127462841430775,0.9112653192741038,3.279056433723527,0.06132228385765126,0.06205474429874425,381.6755476849201,29.73435741293202,29.93542134556364,418.75312510226837,9.492416502345293,9.376243430514933
44,PGC029033,PGC29033,150.4092,-8.2485,9.727472237769655,1.097686760099954,1.2373097236622073,CF4,446.0,3.0,LEDA,,,2.625135765290655,-0.0025126367871106657,0.6184208212221837,0.9040647405677487,7.919929276239634,1.0084703965635997,1.1701498318433838,-1026.8546646272835,1032.5491222851158,1176.356646093245,268.0624444949921,26.762948981161458,28.28095670000232
45,NGC3109,PGC29128,150.7786,-26.1595,1.3061708881318403,0.0530297131904253,0.0552737943341083,CF4,403.0,2.0,LEDA,,,2.6315830115475225,-0.007968639392910403,0.6235213436163255,0.8975575569544358,3.2924135477402063,0.07465732603708997,0.07569275542786968,308.2798609968361,29.50327534362166,29.826880581466106,376.3449652125741,12.762848576040938,12.738078330765006
46,PGC029194,PGC29194,151.0165,-27.332,1.3365955165464416,0.0601567077350992,0.0629918060261767,CF4,361.0,3.0,LEDA,,,2.6357351498380166,-0.00832580331761032,0.626764337014497,0.8934025830199046,3.276666063868084,0.07679409105682788,0.0779728044815804,335.4923442771597,33.04759160912408,33.46734625685269,391.007415368337,12.634745122774916,12.479457956215754
47,UGC05456,PGC29428,151.8324,10.362,10.28016298126473,0.9904991134653685,1.0961098769695674,CF4,542.0,3.0,LEDA,,,2.6499752912050387,0.0031564457038298745,0.6376774996134236,0.8793168839243508,8.338177225798969,0.9292189980391763,1.050260591760539,-634.6663376518757,484.21098366166433,537.7265193208847,334.2775285630214,21.633796043453003,22.285350842039463
48,PGC029653,PGC29653,152.7533,-4.6928,1.4125375446227544,0.0510928621568034,0.053010296333156,CF4,324.0,1.0,LEDA,,,2.6660480282866543,-0.001429508627575066,0.6500307197368403,0.8631714651647999,3.2110048064965344,0.07382077316042279,0.07495786764000556,354.11805881415734,33.13039981372157,33.523354075580336,396.8510082290464,10.606831041675719,10.452500003127625
49,PGC3097113,PGC3097113,207.8286,-46.9735,5.597576014951097,0.3009415760345248,0.3180403268036409,CF4,529.0,5.0,LEDA,,,3.6272933498102873,-0.014308946368350957,0.9951887849198248,0.09813335826993284,1.716161477477265,0.3467059492422355,0.36771025841552185,-18.891762272684325,40.2745444479981,41.829672827537465,-0.39958713278928604,15.057002243627853,15.74159377216958
50,PGC3097708,PGC3097708,189.3995,-8.8671,9.549925860214357,0.429817466655269,0.4500741397856451,CF4,1105.0,5.0,LEDA,,,3.305644876631,-0.002701073122990724,0.9750790443211125,0.22371927999991453,5.7704961250102915,0.4793416825231427,0.5003609278255352,573.1366082079485,182.56039227632766,189.8671875001837,585.8834892411877,13.033143853862043,12.846574937874152
51,UGC05797,PGC31693,159.855,1.7185,10.185913880541165,0.9814181630094492,1.0860606812139295,CF4,707.0,2.0,LEDA,,,2.789996075775535,0.0005234850359034587,0.7389594828540462,0.7392716463726818,7.741562740968637,0.9380850839777892,1.0576230781985965,-47.34969070306545,49.39092802669841,52.759231418637725,412.1280917227615,18.05941042497119,18.215741767286147
52,ESO376-016,PGC31961,160.8636,-37.0439,6.760829753919814,0.3042874635732682,0.3186280899215647,CF4,669.0,6.0,LEDA,,,2.8075994666111503,-0.011284217236836855,0.750795964532412,0.721530040123781,4.606882759942917,0.25945866407699114,0.2830228546005218,-171.29684919278253,171.65727778968832,180.33108919192006,418.02665072779575,15.210680922745098,13.633858506059482
53,NGC3351,PGC32007,160.9904,11.7035,9.727472237769655,0.1334659226103234,0.1353226185424603,CF4,778.0,2.0,LEDA,,,2.809812544102679,0.0035650899724737443,0.7521216330120403,0.7195207801706937,7.243282937733343,0.15149396862476205,0.15444283804488101,87.63554959543063,30.85200108864782,31.01758151598072,472.77176431310147,8.537397158878775,8.337323880066435
54,NGC3368,PGC32192,161.6904,11.8198,10.91440336448757,0.4431178839785694,0.4618694937467449,CF4,892.0,2.0,LEDA,,,2.8220298488666398,0.003600516978394938,0.7601142468441452,0.7073074085278989,8.320748269619928,0.4503904896449855,0.4723584336842954,255.5770854396978,80.51361674366832,83.27159680719595,563.9304775850634,10.569378617012262,10.286778769735292
55,NGC3377,PGC32249,161.9265,13.9856,10.185913880541165,0.0933850197743204,0.0942491007235659,CF4,684.0,11.0,LEDA,,,2.826150571230598,0.004260257386168992,0.7627748314739636,0.7032030104411555,7.616960344987041,0.11734570272045364,0.11885955599173403,-45.03967865395729,36.456030134080805,36.4957940264462,371.14217631399106,17.1358326334244,16.943495092593366
56,ESO318-013,PGC32250,161.9232,-38.8537,6.760829753919814,0.123399049900728,0.1256932095229395,CF4,715.0,7.0,LEDA,,,2.8260929753652824,-0.01183551384316684,0.7628832749328487,0.7030352971349351,4.536373249422752,0.11611553325979873,0.12146578241675687,4.133574622725672,51.49376196781742,51.53762805744178,445.72930562477217,11.789494843633975,10.938049190663321
57,NGC3379,PGC32256,161.9566,12.5816,11.066237839776658,0.1014558783448134,0.102394638028942,CF4,908.0,6.0,LEDA,,,2.8266759153354486,0.0038325745287884527,0.7631207778699003,0.7026678708046644,8.44981198666617,0.12794960450058213,0.12941019304646062,278.9270180094905,43.84810193093783,44.04939083970325,575.7694195460452,11.8896677008712,11.726917695197585
