,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_NGC5128_CenA_NGC5236_M83_0.7,angular_distance_CoM_NGC5128_CenA_NGC5236_M83_0.7,dis_center_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,major_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,minor_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7
42,NGC3379,PGC32256,161.9566,12.5816,11.066237839776658,0.1014558783448134,0.102394638028942,CF4,759.1833558135661,6.0,LEDA,,,6.0,2.8266759153354486,0.0038325745287884527,0.7607718988300863,0.7062947083855871,8.457447992544605,0.06820451897428173,0.06820451897428173,520.2904938655455,14.315996367621409,14.315996367621409,563.5033163459228,52.71346039705287,52.71346039705287
43,NGC3384,PGC32292,162.0705,12.6294,9.204495717531715,0.0843873239726136,0.0851681502676466,CF4,414.5289015306474,6.0,LEDA,,,6.0,2.82866384535347,0.0038471352414542574,0.7620600528908932,0.704307623001847,6.70025889801511,0.06198602205233702,0.06198602205233702,28.599643087992188,14.521508283838529,14.521508283838529,244.72498789916446,19.679602947695916,19.679602947695916
44,NGC3621,PGC34554,169.5687,-32.814,6.8233869414167,0.2770252007439451,0.2887481951165949,CF4,438.1185984775583,3.0,LEDA,,,3.0,2.959532123326509,-0.009995716012881057,0.84014312323394,0.5732492709186698,4.106437064038438,0.23933336737066402,0.23933336737066402,150.56910780868148,17.723932606945972,17.723932606945972,242.42555001410514,47.357023384439685,47.357023384439685
45,NGC3627,PGC34695,170.0625,12.991,11.015393095414156,0.4957743571819328,0.5191394827967795,CF4,584.4903960939342,2.0,LEDA,,,2.0,2.9681505591728565,0.003957284900449131,0.8446588884074119,0.5648687090269278,7.962790799729004,0.28399029633818496,0.28399029633818496,284.0123913735226,9.555589211441381,9.555589211441381,359.963043650005,159.57270190217497,159.57270190217497
46,ESO320-014,PGC36014,174.4716,-39.2206,5.861381645140288,0.1069822717687163,0.1089712206980788,CF4,362.1827864744439,4.0,LEDA,,,4.0,3.0451038712225387,-0.011947277974486581,0.8834245969792829,0.48767517298430424,3.0073431007117177,0.11991916315628061,0.11991916315628061,42.05621016206974,14.930942094762697,14.930942094762697,161.96814466015314,11.963233338970111,11.963233338970111
47,ESO379-007,PGC37369,178.6798,-33.5588,5.321082592667939,0.1687961468503775,0.1743261459083047,CF4,364.5552165369644,3.0,LEDA,,,3.0,3.118550816804964,-0.010222595067138195,0.9154224498277718,0.41424007627156295,2.3301839895073275,0.24025194264161076,0.24025194264161076,78.41192832498255,17.676410190250685,17.676410190250685,147.03475514148283,12.954959618025354,12.954959618025354
48,ESO572-034,PGC37727,179.742,-19.0299,10.28016298126473,0.3718435323370528,0.3857982310378318,CF4,871.5065883944192,4.0,LEDA,,,4.0,3.1370897041196475,-0.005796839036799086,0.9227071618385413,0.3957513925185571,6.805535779622084,0.23453419901164246,0.23453419901164246,616.6581238916764,9.727834948510155,9.727834948510155,603.1907659794974,195.7271617421517,195.7271617421517
49,ESO379-024,PGC38252,181.2362,-35.7431,5.345643593969718,0.2405935942156567,0.2519324209813893,CF4,355.49713053756994,6.0,LEDA,,,6.0,3.163168413802947,-0.010887970897178302,0.9324638897445552,0.3696222211246588,2.1894696902931745,0.3817559511862437,0.3817559511862437,60.824494262560066,18.14256221986207,18.14256221986207,126.78187632865483,16.944734939957616,16.944734939957616
50,ESO321-014,PGC39032,183.4571,-38.231,3.2508729738543423,0.1463133857259904,0.1532089231556668,CF4,334.83817945052454,3.0,LEDA,,,3.0,3.201930431160489,-0.011645828575865658,0.945763150761091,0.3308605108429877,1.3736409232125943,0.2227045773520901,0.2227045773520901,-21.656962751077014,9.194887544663748,9.194887544663748,74.77072538083402,10.878335784672151,10.878335784672151
51,IC3104,PGC39573,184.692,-79.7259,2.301441817408507,0.0210997454080899,0.0212949789485978,CF4,170.2163054273379,4.0,LEDA,,,4.0,3.223483502093367,-0.02428589794817315,0.9524751337421075,0.30953560878366015,1.895324911236442,0.06852624028110843,0.06852624028110843,151.44249435222744,6.666438694717656,6.666438694717656,149.9015430780722,7.31972488956884,7.31972488956884
