Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians,cos_theta,angular_distance,dis_center,minor_infall_velocity,major_infall_velocity,major_infall_velocity_bis
HIPASS J1351-47,13.0,51.0,22.0,-,47.0,0.0,0.0,10,-1.1,292,3.0,5.73,0.73,rgb,K07,,207.84166666666664,3.6275214061658807,-47.0,-0.8203047484373349,0.9544661454102739,0.3029312403432612,1.7370897339420965,81.21808483330231,3.9756600036225103,-142.1627326780275
KKH86,13.0,54.0,33.6,+,4.0,14.0,35.0,10,-1.5,209,3.0,2.61,0.16,rgb,CNG,,208.64000000000001,3.6414549513609695,4.243055555555555,0.07405528978948162,0.8254175832556099,0.5998548160146376,3.3473739425844697,169.99813705191656,85.10127139859222,146.4365793191504
E384-016,13.0,57.0,1.6,-,35.0,20.0,2.0,10,-0.3,350,32.0,4.53,0.31,rgb,K07,,209.25666666666666,3.6522178150816007,-35.33388888888889,-0.616692698644952,0.9927539647040724,0.12045582661179134,0.8576999776556495,-6.896351035235152,-69.7651136822959,-56.242599993841964
N5408,14.0,3.0,21.5,-,41.0,22.0,35.0,10,-0.5,288,7.0,4.81,0.48,rgb,CNG,,210.83958333333334,3.679844922699628,-41.37638888888889,-0.7221542186967094,0.9755964170714977,0.2213752008185797,1.1549347746537526,67.14627814632361,44.22957998232094,56.90452220300439
"Circinus,E97-13",14.0,13.0,9.3,-,65.0,20.0,21.0,3,-0.7,204,10.0,2.82,0.28,tfi,K07,,213.28875000000002,3.722590944963056,-65.33916666666666,-1.1403835888426614,0.8099127672098263,0.6267929486582487,3.3177695344241065,179.95566040853524,103.0457377490874,160.09227338296787
DDO187,14.0,15.0,56.5,+,23.0,3.0,19.0,10,-1.3,172,4.0,2.28,0.23,rgb,T06,,213.98541666666665,3.7347500720852826,23.05527777777778,0.4023905071841038,0.5913973309371408,0.9380057412762722,4.231862162450645,242.44970262296061,42.6953287551166,224.58192678889384
P51659,14.0,28.0,3.7,-,46.0,18.0,6.0,10,0.1,175,2.0,3.58,0.33,rgb,CNG,C,217.01541666666665,3.7876335484207106,-46.30166666666666,-0.8081165324942411,0.9443397816632118,0.3352144551838584,2.1337291680491326,147.46824980890366,184.98460880576138,166.3804824765948
E222-10,14.0,35.0,3.0,-,49.0,25.0,18.0,10,-1.4,405,5.0,5.8,,h,CNG,,218.7625,3.818125904894095,-49.42166666666667,-0.8625708051564642,0.924329803987622,0.3915207894419957,2.222367038208788,160.2783244674044,267.43619529575705,777.4314080316626
HIPASS,14.0,41.0,27.0,-,62.0,41.0,55.0,10,,441,3.0,6.1,,h,M04,,220.3625,3.8460511729260047,-62.698611111111106,-1.094297200316389,0.8246516424490629,0.6012102670381163,3.452843727211904,247.0316556839414,356.18897281481037,-1589.477034666213
E272-25,14.0,43.0,25.5,-,44.0,42.0,19.0,8,-1.5,422,10.0,5.9,,h,CNG,,220.85625000000002,3.8546687361077265,-44.70527777777778,-0.7802542902408761,0.9409509012851137,0.3453680922331272,2.03543153226828,158.10458459884157,264.8804089809146,483.79872686296966
E223-09,15.0,1.0,8.5,-,48.0,17.0,33.0,10,-0.8,387,6.0,6.49,0.51,rgb,K07,,225.2854166666667,3.9319722775606425,-48.2925,-0.8428631290193616,0.9102920710976528,0.42680726868235774,2.788772133485763,167.28498796627554,171.52239065588347,180.06308589684556
E274-01,15.0,14.0,13.5,-,46.0,48.0,45.0,7,-0.8,335,5.0,3.09,0.23,rgb,K07,,228.55624999999998,3.9890590885112895,-46.8125,-0.8170322560898455,0.9039806423243539,0.44180669965812475,2.710505874010818,70.8376275238244,-103.61440438037356,1.3359378911767654
HIPASS J1526-51,15.0,26.0,17.0,-,51.0,10.0,4.0,,,416,,5.8,,h,M04,,231.57083333333333,4.041673493253702,-51.16777777777777,-0.8930461931510095,0.8710372391562937,0.5134863729061477,2.8511041743613803,201.9896182731671,330.2317236659141,-1540.6556628770295
E137-18,16.0,20.0,59.3,-,60.0,29.0,15.0,9,-1.8,420,3.0,6.4,0.48,rgb,K07,,245.24708333333334,4.280369085079577,-60.487500000000004,-1.0557060313000701,0.7557991583153235,0.7139226102500004,4.203162760539915,273.17267664725114,319.8291568677969,-174.89862134555318
"I4662,E102-14",17.0,47.0,6.3,-,64.0,38.0,25.0,9,-0.9,145,4.0,2.44,0.19,rgb,K06a,,266.77625000000006,4.656123928623524,-64.64027777777778,-1.1281856766259457,0.6213615154406673,0.9003171365259103,4.114950783665783,242.1988132665283,235.728594250573,241.55545654040674
"Tucana,P69519",22.0,41.0,49.0,-,64.0,25.0,12.0,-2,-0.1,9,2.0,0.88,0.09,rgb,CNG,,340.45416666666665,5.9420461604668615,-64.42,-1.124341104134747,0.17892808114504383,1.390899484775302,5.076913111160478,299.4701123211017,5326.275789292814,306.8850935090435
