,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
73,NGC4826,PGC44182,194.1825,21.682,4.30526610491711,0.0590704654539804,0.0598922174845553,CF4,363.5384530831522,4.0,LEDA,,,4.0,3.3891239747538893,0.006604714895815415,0.9900034996153342,0.14151466304913238,0.716567946171295,0.067669432669906,0.0832971115030956,106.41305256145247,268.24268439989504,318.5171684435591,73.44796456436251,8.361092095447617,8.266494727395852
74,UGC08091,PGC44491,194.6678,14.2173,2.137962089502231,0.1056050785660098,0.1110925163335481,CF4,138.35590541530493,2.0,LEDA,,,2.0,3.3975940576138175,0.004330837242333572,0.9911917435971778,0.13282483020030098,1.785240220224086,0.17577836490215337,0.17285240844398886,168.39971219455958,80.3333345718555,80.03920638888873,167.06981659871408,7.134719840674819,7.058122298709691
75,PGC044681,PGC44681,194.9857,-19.4114,7.112135136533295,0.2887481951165949,0.3009672764758857,CF4,619.1440888098103,2.0,LEDA,,,2.0,3.4031424593059074,-0.005913050582447715,0.9920198321923117,0.12641838710332104,3.2978566009384376,0.35435458248483576,0.3663914551379168,322.96599357397895,163.25690654972067,168.68702705160592,320.3138159643222,7.062445620530639,6.971029964031061
76,PGC044982,PGC44982,195.5598,-17.2378,5.623413251903491,0.1783867234792797,0.1842309233096299,CF4,549.4505821792959,2.0,LEDA,,,2.0,3.4131623945416067,-0.005250934158799325,0.9932276459745405,0.11644751599261467,1.824546686296443,0.23870766798227128,0.2458984129508881,259.53462101633426,234.0134581736483,240.78279009168165,249.11441361423684,7.976594288009295,7.50301149843591
77,PGC045084,PGC45084,195.8199,-17.4229,5.888436553555893,0.2390668054328637,0.2491834980920524,CF4,546.5745310070763,2.0,LEDA,,,2.0,3.417701995926044,-0.005307318843201844,0.9937443318034916,0.11191247767288333,2.076697271517301,0.300780458765016,0.31207656535969175,252.75729848195965,227.8766443319882,236.12922465812144,246.74126451441643,7.593962501304276,7.237866730175597
78,ESO269-037,PGC45104,195.8883,-46.5869,3.07609681474071,0.0975803853115189,0.1007772559090631,CF4,481.4448467815048,6.0,LEDA,,,6.0,3.418895801134408,-0.014191181273861415,0.9938965384224359,0.1105412177413023,0.8915581254644342,0.15008531782338408,0.15498513921098223,-189.35307731496908,318.73635509499843,328.52741997693613,-141.70633908149378,18.104536669669386,21.88621620060873
79,NGC4945,PGC45279,196.3638,-49.4679,3.388441561392023,0.0464911611308842,0.0471379176067228,CF4,299.57034892643287,3.0,LEDA,,,3.0,3.4271948417276414,-0.015068784060266922,0.9947752450009887,0.10226740464158911,0.617107377145865,0.09015252780822869,0.09887901785857911,6.521198223659296,24.704489539983538,26.038220134366984,21.615526227636046,9.203365864069053,8.555338260175517
80,ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,140.480657571108,18.0,-5,HI,dIrr,18.0,3.449351796581709,-0.014314216249713265,0.996793693689281,0.08010020196278779,0.3327321755105006,0.026457837166160403,0.047706550631231914,378.03133091915265,1884.7459985289438,3167.453029389325,80.74307781553684,43.96211539692837,42.510774532102644
81,ESO269-037,PGC045916,195.8875,-46.5842,3.15,0.09,0.09,-1,481.44617087796087,2.0,-2,HI,dIrr,2.0,3.418881838500392,-0.01419035880682799,0.9938950002718244,0.11055515996895295,0.8275220615074216,0.13709193732664826,0.14556426749390416,-192.9418299631923,347.3953838021763,366.1790340121025,-136.60239901418643,15.708075432591897,20.197436925543627
82,ESO269-068,PGC45917,198.2985,-43.2649,3.6475394692560754,0.0334408428599437,0.0337502671692355,CF4,393.5879863045817,96.0,LEDA,,,96.0,3.4609617267659756,-0.013179242205329967,0.997657009484982,0.06846759848555493,0.34815872880510623,0.06086091840521046,0.07900553429883223,-128.00319378406277,892.6811475088186,1100.190031443296,-42.94387592309369,92.66507532732814,66.35251388883171
83,HIPASSJ1348-37,PGC4614882,207.1396,-37.9681,5.520774392807576,0.1751307988378583,0.1808683299999023,CF4,359.0333691434523,6.0,LEDA,,,6.0,3.6152680312640464,-0.01156574465620373,0.9963180373651004,0.08583966834531169,1.686455621942305,0.23993321189495087,0.24613191350082397,56.580041431167594,66.71350145936002,68.16478340042494,60.762357724667794,11.226236178473464,11.111656157112407
84,NGC5068,PGC46400,199.7295,-21.0392,5.035006087879052,0.2044180674813205,0.2130685146186781,CF4,471.2759125948975,2.0,LEDA,,,2.0,3.4859373883620144,-0.006408906818376519,0.9990395320445828,0.043831991617782486,1.169396149134467,0.2720866878675462,0.281077652113358,170.47932893634217,355.8250769087209,367.4753813057598,168.30721986423333,7.60292859737487,7.230018347720829
85,PGC046663,PGC46663,200.4461,-45.0624,3.872576449216176,0.1055384593770814,0.1084952563187977,CF4,489.7242678067538,15.0,LEDA,,,15.0,3.4984444177818057,-0.013726792017396575,0.9995186470843271,0.031028745943143702,0.12065010957210405,0.0022922054505285644,0.10133985759363599,-2029.5345424687337,59596.66404757602,1228039.0913952566,-1.9324050067705998,165.06444252742514,177.35254517962426
86,NGC5102,PGC046674,200.4875,-36.6297,3.74,0.39,0.39,-3,227.00435746184783,18.0,-12,HI,Sa,18.0,3.4991669840921316,-0.0111580447015612,0.9995420855460987,0.03026382017450066,0.182745340629104,0.06547514800095008,0.43117653126350153,97.43695570504146,2196.1284263093094,12552.012967780658,64.32364727715338,154.61420073270995,34.89119619659347
87,KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,395.554618859966,3.0,-7,stars,dSph,3.0,3.4995352485643023,-0.012957176106305457,0.9995529224247364,0.02990354133862832,0.1227737633373533,0.008830754679885144,0.06994052885451986,-259.63340308324774,3999.3579789147143,26946.736128600627,-21.520365610436368,52.235549816715206,82.04477443240307
88,PGC046885,PGC46885,201.1501,-30.9719,4.6558609352295885,0.126885136193378,0.1304399879967919,CF4,267.1640070408422,3.0,LEDA,,,3.0,3.510731535715846,-0.00943458026389196,0.9998222431138476,0.018855352166099116,0.778225565537323,0.19770162652379586,0.2004885412707107,-36.522049330390296,119.86102718688844,121.53505042307113,-35.489175092513925,8.191181342509502,8.296202449838976
89,PGC4689210,PGC4689210,161.7216,12.7444,9.594006315159332,0.9642208374896306,1.0719548971432469,CF4,491.7149059126178,5.0,LEDA,,,5.0,2.8225743915932617,0.0038821662447297294,0.7603061244551291,0.7070120655292507,7.105127748322044,0.9228204905408441,1.0482427485370582,146.6751588980813,115.35230947587492,127.40890501940157,313.98391367996993,12.857153529820835,12.006805554515665
90,NGC5128_CenA,PGC46957,201.3672,-43.0181,3.597493351557425,0.0656616536378527,0.0668823949209076,CF4,305.7401480132788,6.0,LEDA,,,6.0,3.5145206455219253,-0.013104062626126607,0.9998882780035732,0.014948182283446122,0.28971724623620676,0.13290141639903386,0.13609222125226328,-2.34119315926461,40.57142222351857,41.26968335576659,-1.4122904315304217,11.246902226848647,11.1656471100321
91,IC4247,PGC47073,201.6852,-30.3625,5.05824662003114,0.0923234055277779,0.0940398257864219,CF4,200.07164065693897,8.0,LEDA,,,8.0,3.5200707925432675,-0.00924894640827394,0.9999526993637619,0.00972635688575607,1.1772613022227458,0.16438199225950179,0.1648120733706795,-103.43365807548312,137.16948776448885,137.7234700385514,-103.17170230525373,13.060304930184344,13.067255417644986
92,ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,271.4628537463437,18.0,-12,HI,Sdm,18.0,3.523893063605135,-0.012635713343204544,0.9999844565085785,0.005575577402991701,0.10399129195657335,0.08272656799581664,0.16082772235691273,32.62386152847257,2027.694075342571,3871.570204689368,31.590622746921216,82.75044811331,23.339539148005265
93,NGC5206,PGC047762,203.4292,-48.1511,3.21,0.01,0.01,-1,334.06263174088883,6.0,-13,stars,S0−,6.0,3.5505093346980487,-0.014667663841891783,0.9997739653769419,0.02126232060931199,0.6759541169125821,0.08037336610116141,0.08179087297847087,-30.738715779372964,53.330472375485414,54.07038692832479,-29.708288204685438,11.094756536335645,11.09655315600909
94,ESO270-017,PGC47847,203.6951,-45.5473,6.792036326171846,0.1546056221527605,0.1582068497161248,CF4,584.1532218775575,4.0,LEDA,,,4.0,3.5551501651791013,-0.013874501004251152,0.9996672283881763,0.02579883988163889,2.913274982376685,0.22655302792401377,0.2288692773495251,281.0621067442724,111.05160732913848,112.34694591119117,280.9517752498061,9.035267095141592,9.034145039849307
95,ESO444-078,PGC48029,204.1284,-29.2354,5.2966344389165805,0.0726725489253832,0.0736835247859524,CF4,361.5920088935722,2.0,LEDA,,,2.0,3.562712676827993,-0.008905612114432339,0.9994414681111642,0.03342405988385032,1.422953230329448,0.1439008734873426,0.14377250375052708,58.43844265396729,51.439063236014825,51.50115707844071,59.037312364765974,7.050468741448192,7.0360206411182915
96,NGC5236_M83,PGC48082,204.2536,-29.8656,4.7863009232263805,0.087359837174227,0.0889839778074774,CF4,296.30810907553007,2.0,LEDA,,,2.0,3.56489782905149,-0.009097582012381924,0.9993669228758896,0.035584938756831885,0.9174379464146826,0.15683334192680853,0.15793556815152232,-7.4137783376713,20.645709260045223,20.75550606668535,-5.201707171970925,7.245581857478664,7.29418752236667
