Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG
IC5332,PGC71775,353.6145,-36.1016,8.790225168308838,0.3956253031148744,0.4142705492228771,CF4,719.5419162012231,3.0,LEDA,,,3.0
ESO471-006,PGC72228,355.9379,-31.9593,4.265795188015924,0.1542979769707004,0.1600885356103356,CF4,301.5033746976255,9.0,LEDA,,,9.0
ESO149-003,PGC72675,358.0122,-52.5774,6.854882264526615,0.1560361703613528,0.1596707196730991,CF4,513.0813795328969,5.0,LEDA,,,5.0
NGC7793,PGC73049,359.4573,-32.591,3.7670379898390873,0.1026622433607542,0.1055384593770805,CF4,251.3447350500452,3.0,LEDA,,,3.0
PGC083339,PGC83339,161.7369,12.9992,9.418895965228415,0.5473358448487993,0.5811040347715828,CF4,684.943862469527,4.0,LEDA,,,4.0
PGC086635,PGC86635,187.0206,22.2908,6.165950018614819,0.2503336768600803,0.2609271545553753,CF4,543.8845760031791,1.0,LEDA,,,1.0
PGC086644,PGC86644,192.9423,21.7357,5.834451042737443,0.2110377908339522,0.2189577048016833,CF4,534.5922765158924,4.0,LEDA,,,4.0
PGC086668,PGC86668,135.725,20.0747,8.629785477669701,0.2737552953572226,0.2827239036677529,CF4,366.4228116062054,3.0,LEDA,,,3.0
PGC086669,PGC86669,139.8764,21.6036,9.078205301781855,0.4880700867279053,0.5158010133774766,CF4,385.3390495026796,6.0,LEDA,,,6.0
dw1322-39,,200.6336,-39.906,2.95,0.05,0.05,-10,413.2054799786679,10.0,-7,stars,dIrr,10.0
dw1323-40a,,201.2233,-40.7612,3.73,0.15,0.15,-10,207.09992829132895,14.0,-7,stars,dSph,14.0
dw1323-40b,,200.9809,-40.8361,3.91,0.61,0.61,-10,253.40714773657774,12.0,-7,stars,dSph,12.0
dw1341-43,,205.4032,-43.8553,3.53,0.04,0.04,-10,397.65708002159533,14.0,-7,stars,dSph,14.0
dw1342-43,,205.6837,-43.2548,2.9,0.14,0.14,-10,273.31774324459593,8.0,-7,stars,Tr,8.0
